Res_Geo_Short,Work_Geo_Short,Year,Total,Drove alone,2-person carpool,3-person carpool,4-person carpool,5-or-6-person carpool,7-or-more-person carpool,Bus,Streetcar or trolley,Subway,Railroad,Ferry,Bicycle,Walked,Taxi,Motorcycle,Other,Worked at home,Source
Shasta,Santa Barbara,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Solano,Santa Barbara,2016,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Stanislaus,Santa Barbara,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tulare,Santa Barbara,2016,75,45,4,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,CTPP_A302103_5YR_2016
Ventura,Santa Barbara,2016,12835,9325,1570,640,185,280,30,620,0,0,25,10,0,15,0,70,65,0,CTPP_A302103_5YR_2016
Alameda,Santa Clara,2016,73555,57625,7550,1395,365,100,100,3215,0,600,1455,0,210,115,40,310,475,0,CTPP_A302103_5YR_2016
Amador,Santa Clara,2016,165,125,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Santa Clara,2016,120,90,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Santa Clara,2016,190,165,10,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,CTPP_A302103_5YR_2016
Contra Costa,Santa Clara,2016,14020,10875,1425,575,55,65,70,320,0,210,180,0,30,75,0,45,95,0,CTPP_A302103_5YR_2016
Del Norte,Santa Clara,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Santa Clara,2016,580,520,20,0,0,0,0,10,0,10,0,0,0,0,0,0,20,0,CTPP_A302103_5YR_2016
Fresno,Santa Clara,2016,620,480,55,0,60,0,0,4,0,0,0,0,0,0,0,0,20,0,CTPP_A302103_5YR_2016
Glenn,Santa Clara,2016,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Humboldt,Santa Clara,2016,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CTPP_A302103_5YR_2016
Imperial,Santa Clara,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kern,Santa Clara,2016,105,75,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kings,Santa Clara,2016,70,55,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lake,Santa Clara,2016,45,35,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Santa Clara,2016,1600,965,155,60,45,0,0,70,0,25,30,0,25,20,0,0,205,0,CTPP_A302103_5YR_2016
Madera,Santa Clara,2016,250,185,4,20,0,0,25,0,10,0,0,0,0,10,0,0,0,0,CTPP_A302103_5YR_2016
Marin,Santa Clara,2016,1195,1015,35,15,0,0,0,75,0,0,0,10,0,45,0,0,0,0,CTPP_A302103_5YR_2016
Mariposa,Santa Clara,2016,120,90,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Mendocino,Santa Clara,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Merced,Santa Clara,2016,4320,2970,1020,165,50,60,0,0,25,0,0,0,25,0,0,0,0,0,CTPP_A302103_5YR_2016
Monterey,Santa Clara,2016,5440,4400,395,110,65,10,0,40,0,0,20,0,50,35,0,30,290,0,CTPP_A302103_5YR_2016
Napa,Santa Clara,2016,495,345,125,4,0,0,0,15,0,0,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Santa Clara,2016,405,310,20,0,0,0,0,0,0,0,0,0,0,20,0,25,35,0,CTPP_A302103_5YR_2016
Orange,Santa Clara,2016,540,390,15,0,20,0,0,20,0,0,0,0,20,10,0,0,65,0,CTPP_A302103_5YR_2016
Placer,Santa Clara,2016,815,740,45,0,0,0,0,4,0,4,0,0,20,0,0,0,0,0,CTPP_A302103_5YR_2016
Riverside,Santa Clara,2016,265,160,10,4,0,4,0,0,0,0,10,0,0,15,0,0,55,0,CTPP_A302103_5YR_2016
Sacramento,Santa Clara,2016,1815,1475,210,90,0,10,0,0,0,0,10,0,10,10,0,0,0,0,CTPP_A302103_5YR_2016
San Benito,Santa Clara,2016,9245,7480,1295,170,45,40,25,40,0,0,40,0,0,10,0,85,20,0,CTPP_A302103_5YR_2016
San Bernardino,Santa Clara,2016,265,200,15,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,CTPP_A302103_5YR_2016
San Diego,Santa Clara,2016,500,285,4,0,0,0,0,4,0,0,0,0,0,0,0,15,190,0,CTPP_A302103_5YR_2016
San Francisco,Santa Clara,2016,27985,12605,1540,250,95,20,140,6845,175,700,4045,10,225,290,35,95,905,0,CTPP_A302103_5YR_2016
San Joaquin,Santa Clara,2016,11105,7275,1655,470,230,75,180,215,0,10,835,0,0,10,0,45,110,0,CTPP_A302103_5YR_2016
San Luis Obispo,Santa Clara,2016,260,250,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Mateo,Santa Clara,2016,61165,47855,4910,750,415,100,65,1410,10,485,2445,0,1595,450,45,215,420,0,CTPP_A302103_5YR_2016
Santa Barbara,Santa Clara,2016,195,155,10,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,CTPP_A302103_5YR_2016
Santa Clara,Santa Clara,2016,791635,598310,64550,10760,3225,1985,815,19105,1225,700,4790,0,16200,17565,1075,3020,5280,43035,CTPP_A302103_5YR_2016
Santa Cruz,Santa Clara,2016,17935,14630,1875,175,85,40,40,520,4,4,15,0,70,55,20,220,180,0,CTPP_A302103_5YR_2016
Shasta,Santa Clara,2016,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Siskiyou,Santa Clara,2016,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Solano,Santa Clara,2016,1690,1320,145,135,10,20,0,4,0,0,0,0,0,40,0,0,4,0,CTPP_A302103_5YR_2016
Sonoma,Santa Clara,2016,1160,950,145,20,0,0,15,25,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Stanislaus,Santa Clara,2016,4805,3555,795,145,70,35,10,50,0,0,90,0,0,0,0,50,4,0,CTPP_A302103_5YR_2016
Sutter,Santa Clara,2016,60,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tehama,Santa Clara,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tulare,Santa Clara,2016,95,80,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Santa Clara,2016,285,280,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Ventura,Santa Clara,2016,300,235,30,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,CTPP_A302103_5YR_2016
Yolo,Santa Clara,2016,280,190,40,0,0,0,0,0,0,0,40,0,10,0,0,0,4,0,CTPP_A302103_5YR_2016
Yuba,Santa Clara,2016,90,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Alameda,Santa Cruz,2016,405,310,60,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Santa Cruz,2016,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Santa Cruz,2016,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Contra Costa,Santa Cruz,2016,235,225,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Santa Cruz,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Santa Cruz,2016,105,55,0,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,CTPP_A302103_5YR_2016
Imperial,Santa Cruz,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kern,Santa Cruz,2016,45,35,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Santa Cruz,2016,160,65,30,15,0,0,0,25,0,10,0,0,0,0,0,0,15,0,CTPP_A302103_5YR_2016
Madera,Santa Cruz,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Marin,Santa Cruz,2016,55,35,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,CTPP_A302103_5YR_2016
Mendocino,Santa Cruz,2016,15,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,CTPP_A302103_5YR_2016
Merced,Santa Cruz,2016,175,130,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Monterey,Santa Cruz,2016,10175,7485,1070,215,115,130,30,80,0,0,0,0,20,110,0,4,905,0,CTPP_A302103_5YR_2016
Napa,Santa Cruz,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Santa Cruz,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Orange,Santa Cruz,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Santa Cruz,2016,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Santa Cruz,2016,50,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Benito,Santa Cruz,2016,1005,835,110,50,0,4,0,0,0,0,0,0,0,0,0,4,0,0,CTPP_A302103_5YR_2016
San Bernardino,Santa Cruz,2016,30,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,CTPP_A302103_5YR_2016
San Diego,Santa Cruz,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Francisco,Santa Cruz,2016,425,315,65,0,0,0,0,0,0,0,0,0,10,35,0,0,0,0,CTPP_A302103_5YR_2016
San Joaquin,Santa Cruz,2016,180,135,10,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,CTPP_A302103_5YR_2016
San Mateo,Santa Cruz,2016,405,270,60,0,0,0,0,60,0,0,0,0,4,10,0,0,0,0,CTPP_A302103_5YR_2016
Santa Barbara,Santa Cruz,2016,55,4,0,0,0,0,0,30,0,0,0,0,0,4,0,0,10,0,CTPP_A302103_5YR_2016
Santa Clara,Santa Cruz,2016,4375,3480,535,90,50,15,15,85,20,0,20,0,25,4,0,0,30,0,CTPP_A302103_5YR_2016
Santa Cruz,Santa Cruz,2016,99440,65360,6140,1350,415,190,150,2810,0,25,15,0,4820,5500,10,500,2410,9750,CTPP_A302103_5YR_2016
Siskiyou,Santa Cruz,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sonoma,Santa Cruz,2016,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,CTPP_A302103_5YR_2016
Stanislaus,Santa Cruz,2016,130,65,45,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Santa Cruz,2016,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Ventura,Santa Cruz,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yolo,Santa Cruz,2016,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,CTPP_A302103_5YR_2016
Yuba,Santa Cruz,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Alameda,Shasta,2016,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Shasta,2016,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Shasta,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Colusa,Shasta,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Contra Costa,Shasta,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Shasta,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Shasta,2016,145,85,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Glenn,Shasta,2016,60,55,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Kern,Shasta,2016,15,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lassen,Shasta,2016,140,140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Shasta,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Madera,Shasta,2016,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Mendocino,Shasta,2016,25,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Modoc,Shasta,2016,85,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Shasta,2016,30,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Plumas,Shasta,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Riverside,Shasta,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Shasta,2016,170,145,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Francisco,Shasta,2016,15,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Joaquin,Shasta,2016,50,30,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Clara,Shasta,2016,35,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Cruz,Shasta,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Shasta,Shasta,2016,64420,53105,3710,620,280,70,55,425,40,0,0,0,520,1430,60,215,280,3610,CTPP_A302103_5YR_2016
Siskiyou,Shasta,2016,335,260,60,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,CTPP_A302103_5YR_2016
Sonoma,Shasta,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Stanislaus,Shasta,2016,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sutter,Shasta,2016,80,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tehama,Shasta,2016,3565,3155,185,100,30,10,0,0,0,0,0,20,0,10,0,0,60,0,CTPP_A302103_5YR_2016
Trinity,Shasta,2016,140,105,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Shasta,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yolo,Shasta,2016,60,15,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Sierra,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Sierra,2016,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Sierra,2016,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Plumas,Sierra,2016,35,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Sierra,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sierra,Sierra,2016,825,525,15,20,0,10,0,0,0,0,0,0,10,65,0,0,0,180,CTPP_A302103_5YR_2016
Yuba,Sierra,2016,10,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Siskiyou,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Del Norte,Siskiyou,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Humboldt,Siskiyou,2016,55,25,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,CTPP_A302103_5YR_2016
Lassen,Siskiyou,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Madera,Siskiyou,2016,70,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Modoc,Siskiyou,2016,185,125,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Siskiyou,2016,45,15,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Joaquin,Siskiyou,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Clara,Siskiyou,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Shasta,Siskiyou,2016,215,160,45,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Siskiyou,Siskiyou,2016,14735,10640,1115,180,185,110,25,95,0,0,0,0,100,740,0,45,85,1410,CTPP_A302103_5YR_2016
Tehama,Siskiyou,2016,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Trinity,Siskiyou,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Alameda,Solano,2016,1780,1435,180,30,15,20,35,35,0,4,10,0,4,0,0,0,4,0,CTPP_A302103_5YR_2016
Amador,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Solano,2016,80,80,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Solano,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Colusa,Solano,2016,120,110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Contra Costa,Solano,2016,7710,6705,620,155,40,20,10,35,0,20,0,0,0,40,0,20,60,0,CTPP_A302103_5YR_2016
El Dorado,Solano,2016,290,230,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Solano,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Glenn,Solano,2016,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Humboldt,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kern,Solano,2016,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kings,Solano,2016,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lake,Solano,2016,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lassen,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Solano,2016,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Madera,Solano,2016,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Marin,Solano,2016,440,385,30,0,10,0,0,0,0,0,0,0,20,0,0,0,4,0,CTPP_A302103_5YR_2016
Mendocino,Solano,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Merced,Solano,2016,120,90,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,CTPP_A302103_5YR_2016
Monterey,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Napa,Solano,2016,4355,3920,370,35,10,4,0,0,0,4,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Nevada,Solano,2016,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Orange,Solano,2016,45,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Solano,2016,895,790,85,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Plumas,Solano,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Riverside,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Solano,2016,5960,4920,785,70,115,30,10,0,4,0,0,0,0,10,0,4,0,0,CTPP_A302103_5YR_2016
San Bernardino,Solano,2016,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,CTPP_A302103_5YR_2016
San Diego,Solano,2016,50,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
San Francisco,Solano,2016,620,475,110,0,20,0,0,0,0,0,0,10,0,0,0,10,0,0,CTPP_A302103_5YR_2016
San Joaquin,Solano,2016,1105,885,10,140,45,0,10,0,0,0,0,0,0,0,0,0,10,0,CTPP_A302103_5YR_2016
San Mateo,Solano,2016,275,180,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Barbara,Solano,2016,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Clara,Solano,2016,190,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Santa Cruz,Solano,2016,70,60,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Shasta,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Solano,Solano,2016,111510,86535,8820,2185,585,345,85,1290,0,15,15,10,780,2675,55,295,600,7230,CTPP_A302103_5YR_2016
Sonoma,Solano,2016,885,800,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Stanislaus,Solano,2016,215,175,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Sutter,Solano,2016,195,185,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tehama,Solano,2016,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tulare,Solano,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Tuolumne,Solano,2016,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Yolo,Solano,2016,4950,4225,320,105,35,30,10,145,0,0,0,0,50,0,0,15,10,0,CTPP_A302103_5YR_2016
Yuba,Solano,2016,160,85,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Alameda,Sonoma,2016,985,820,90,50,10,0,0,0,0,15,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Amador,Sonoma,2016,90,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Butte,Sonoma,2016,85,55,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Calaveras,Sonoma,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Colusa,Sonoma,2016,30,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Contra Costa,Sonoma,2016,1115,790,245,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
El Dorado,Sonoma,2016,110,90,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Fresno,Sonoma,2016,50,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Humboldt,Sonoma,2016,115,65,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Kern,Sonoma,2016,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Lake,Sonoma,2016,1370,1155,115,45,0,0,0,0,0,0,0,0,0,55,0,0,0,0,CTPP_A302103_5YR_2016
Los Angeles,Sonoma,2016,275,225,10,0,0,0,0,0,0,0,0,0,25,10,0,0,4,0,CTPP_A302103_5YR_2016
Marin,Sonoma,2016,4500,3820,355,95,0,10,0,120,0,0,0,45,15,15,0,30,0,0,CTPP_A302103_5YR_2016
Mendocino,Sonoma,2016,975,810,155,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Monterey,Sonoma,2016,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Napa,Sonoma,2016,2630,2270,225,45,45,0,0,0,0,0,0,0,0,0,0,4,35,0,CTPP_A302103_5YR_2016
Nevada,Sonoma,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Orange,Sonoma,2016,90,55,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,CTPP_A302103_5YR_2016
Placer,Sonoma,2016,180,110,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,CTPP_A302103_5YR_2016
Plumas,Sonoma,2016,10,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,CTPP_A302103_5YR_2016
Sacramento,Sonoma,2016,805,565,130,0,0,15,0,10,0,0,0,0,0,0,0,0,85,0,CTPP_A302103_5YR_2016
